,Unnamed: 0,Image,Class
11891,11891,ISIC_0033294.jpg,1
12487,12487,ISIC_0033890.jpg,1
9119,9119,ISIC_0030522.jpg,3
10845,10845,ISIC_0032248.jpg,0
2853,2853,ISIC_0016016_downsampled.jpg,1
5372,5372,ISIC_0026775.jpg,3
1828,1828,ISIC_0013434_downsampled.jpg,1
21267,21267,ISIC_0066837.jpg,2
5533,5533,ISIC_0026936.jpg,1
19908,19908,ISIC_0064678.jpg,3
7023,7023,ISIC_0028426.jpg,1
2291,2291,ISIC_0014580_downsampled.jpg,3
6193,6193,ISIC_0027596.jpg,1
2949,2949,ISIC_0024352.jpg,1
9568,9568,ISIC_0030971.jpg,1
10821,10821,ISIC_0032224.jpg,1
16141,16141,ISIC_0058663.jpg,0
10990,10990,ISIC_0032393.jpg,1
1927,1927,ISIC_0013675_downsampled.jpg,1
25223,25223,ISIC_0073086.jpg,1
21257,21257,ISIC_0066823.jpg,2
11616,11616,ISIC_0033019.jpg,2
10626,10626,ISIC_0032029.jpg,1
3189,3189,ISIC_0024592.jpg,3
23038,23038,ISIC_0069592.jpg,0
4041,4041,ISIC_0025444.jpg,1
14559,14559,ISIC_0056116.jpg,1
8549,8549,ISIC_0029952.jpg,1
13015,13015,ISIC_0053603.jpg,0
7732,7732,ISIC_0029135.jpg,3
569,569,ISIC_0003308_downsampled.jpg,1
1735,1735,ISIC_0013220_downsampled.jpg,1
8251,8251,ISIC_0029654.jpg,1
5202,5202,ISIC_0026605.jpg,1
13745,13745,ISIC_0054802.jpg,0
14563,14563,ISIC_0056124.jpg,2
15175,15175,ISIC_0057092.jpg,1
11129,11129,ISIC_0032532.jpg,0
2671,2671,ISIC_0015203_downsampled.jpg,1
2682,2682,ISIC_0015219_downsampled.jpg,0
10949,10949,ISIC_0032352.jpg,1
11693,11693,ISIC_0033096.jpg,1
15290,15290,ISIC_0057288.jpg,2
10313,10313,ISIC_0031716.jpg,3
6267,6267,ISIC_0027670.jpg,1
3208,3208,ISIC_0024611.jpg,1
23919,23919,ISIC_0071017.jpg,0
12230,12230,ISIC_0033633.jpg,1
1572,1572,ISIC_0012883_downsampled.jpg,1
670,670,ISIC_0009505_downsampled.jpg,1
7388,7388,ISIC_0028791.jpg,1
16280,16280,ISIC_0058876.jpg,0
21970,21970,ISIC_0067954.jpg,2
2079,2079,ISIC_0014029_downsampled.jpg,3
3799,3799,ISIC_0025202.jpg,1
17239,17239,ISIC_0060381.jpg,2
3386,3386,ISIC_0024789.jpg,1
4876,4876,ISIC_0026279.jpg,1
386,386,ISIC_0000452_downsampled.jpg,1
9532,9532,ISIC_0030935.jpg,3
19880,19880,ISIC_0064642.jpg,2
8244,8244,ISIC_0029647.jpg,2
9835,9835,ISIC_0031238.jpg,1
16002,16002,ISIC_0058446.jpg,1
7711,7711,ISIC_0029114.jpg,1
6540,6540,ISIC_0027943.jpg,1
23027,23027,ISIC_0069575.jpg,2
12705,12705,ISIC_0034108.jpg,1
6289,6289,ISIC_0027692.jpg,1
15487,15487,ISIC_0057621.jpg,0
25059,25059,ISIC_0072839.jpg,2
8222,8222,ISIC_0029625.jpg,1
14705,14705,ISIC_0056344.jpg,1
16940,16940,ISIC_0059917.jpg,2
5340,5340,ISIC_0026743.jpg,1
8707,8707,ISIC_0030110.jpg,0
14120,14120,ISIC_0055397.jpg,2
6654,6654,ISIC_0028057.jpg,1
10465,10465,ISIC_0031868.jpg,1
21027,21027,ISIC_0066462.jpg,1
24073,24073,ISIC_0071283.jpg,1
11431,11431,ISIC_0032834.jpg,2
20218,20218,ISIC_0065186.jpg,0
5162,5162,ISIC_0026565.jpg,1
19815,19815,ISIC_0064529.jpg,3
25109,25109,ISIC_0072904.jpg,3
5377,5377,ISIC_0026780.jpg,1
19707,19707,ISIC_0064351.jpg,2
8536,8536,ISIC_0029939.jpg,1
1180,1180,ISIC_0011305.jpg,0
2313,2313,ISIC_0014603_downsampled.jpg,3
1297,1297,ISIC_0012216_downsampled.jpg,1
20267,20267,ISIC_0065272.jpg,1
22051,22051,ISIC_0068080.jpg,0
20695,20695,ISIC_0065929.jpg,2
18349,18349,ISIC_0062167.jpg,2
11028,11028,ISIC_0032431.jpg,1
24528,24528,ISIC_0071997.jpg,0
11998,11998,ISIC_0033401.jpg,3
9819,9819,ISIC_0031222.jpg,1
10437,10437,ISIC_0031840.jpg,1
19240,19240,ISIC_0063607.jpg,1
3419,3419,ISIC_0024822.jpg,1
3561,3561,ISIC_0024964.jpg,1
6047,6047,ISIC_0027450.jpg,1
9054,9054,ISIC_0030457.jpg,1
10806,10806,ISIC_0032209.jpg,1
21499,21499,ISIC_0067214.jpg,1
1305,1305,ISIC_0012230_downsampled.jpg,1
19062,19062,ISIC_0063301.jpg,2
11739,11739,ISIC_0033142.jpg,1
18558,18558,ISIC_0062496.jpg,2
641,641,ISIC_0008406_downsampled.jpg,1
1466,1466,ISIC_0012660_downsampled.jpg,1
20422,20422,ISIC_0065493.jpg,1
7583,7583,ISIC_0028986.jpg,1
17598,17598,ISIC_0060951.jpg,1
15884,15884,ISIC_0058257.jpg,2
23707,23707,ISIC_0070685.jpg,1
2879,2879,ISIC_0016048_downsampled.jpg,1
20000,20000,ISIC_0064821.jpg,0
8016,8016,ISIC_0029419.jpg,1
17271,17271,ISIC_0060446.jpg,0
13732,13732,ISIC_0054779.jpg,3
5351,5351,ISIC_0026754.jpg,0
1764,1764,ISIC_0013288_downsampled.jpg,1
8292,8292,ISIC_0029695.jpg,1
9212,9212,ISIC_0030615.jpg,1
2280,2280,ISIC_0014569_downsampled.jpg,3
22987,22987,ISIC_0069513.jpg,2
2236,2236,ISIC_0014469_downsampled.jpg,1
13714,13714,ISIC_0054748.jpg,0
16702,16702,ISIC_0059535.jpg,3
3424,3424,ISIC_0024827.jpg,1
12640,12640,ISIC_0034043.jpg,1
15790,15790,ISIC_0058113.jpg,3
12127,12127,ISIC_0033530.jpg,1
6910,6910,ISIC_0028313.jpg,1
21868,21868,ISIC_0067778.jpg,2
18102,18102,ISIC_0061778.jpg,2
5705,5705,ISIC_0027108.jpg,1
1721,1721,ISIC_0013198_downsampled.jpg,0
9830,9830,ISIC_0031233.jpg,0
18208,18208,ISIC_0061945.jpg,0
21421,21421,ISIC_0067089.jpg,2
21162,21162,ISIC_0066676.jpg,2
22973,22973,ISIC_0069492.jpg,1
10639,10639,ISIC_0032042.jpg,1
24290,24290,ISIC_0071622.jpg,1
4027,4027,ISIC_0025430.jpg,1
24186,24186,ISIC_0071455.jpg,0
13144,13144,ISIC_0053811.jpg,1
17312,17312,ISIC_0060505.jpg,1
8430,8430,ISIC_0029833.jpg,1
22455,22455,ISIC_0068701.jpg,2
2564,2564,ISIC_0014977_downsampled.jpg,1
18392,18392,ISIC_0062240.jpg,2
14293,14293,ISIC_0055697.jpg,1
17133,17133,ISIC_0060219.jpg,0
16005,16005,ISIC_0058449.jpg,3
515,515,ISIC_0001254_downsampled.jpg,1
2076,2076,ISIC_0014026_downsampled.jpg,1
3592,3592,ISIC_0024995.jpg,1
11901,11901,ISIC_0033304.jpg,0
20346,20346,ISIC_0065377.jpg,1
22355,22355,ISIC_0068552.jpg,1
8025,8025,ISIC_0029428.jpg,1
23026,23026,ISIC_0069574.jpg,2
5804,5804,ISIC_0027207.jpg,1
19820,19820,ISIC_0064540.jpg,1
12376,12376,ISIC_0033779.jpg,0
7967,7967,ISIC_0029370.jpg,0
11675,11675,ISIC_0033078.jpg,1
17657,17657,ISIC_0061057.jpg,0
8006,8006,ISIC_0029409.jpg,1
3027,3027,ISIC_0024430.jpg,1
7796,7796,ISIC_0029199.jpg,1
13031,13031,ISIC_0053635.jpg,3
8649,8649,ISIC_0030052.jpg,1
23601,23601,ISIC_0070512.jpg,3
20073,20073,ISIC_0064942.jpg,3
15950,15950,ISIC_0058362.jpg,0
15697,15697,ISIC_0057973.jpg,0
16579,16579,ISIC_0059352.jpg,1
18559,18559,ISIC_0062497.jpg,0
10589,10589,ISIC_0031992.jpg,1
9701,9701,ISIC_0031104.jpg,1
10794,10794,ISIC_0032197.jpg,0
5203,5203,ISIC_0026606.jpg,3
9450,9450,ISIC_0030853.jpg,1
8554,8554,ISIC_0029957.jpg,1
10088,10088,ISIC_0031491.jpg,1
3198,3198,ISIC_0024601.jpg,1
20919,20919,ISIC_0066308.jpg,0
15329,15329,ISIC_0057349.jpg,2
1452,1452,ISIC_0012543_downsampled.jpg,3
12020,12020,ISIC_0033423.jpg,1
23265,23265,ISIC_0069955.jpg,1
4904,4904,ISIC_0026307.jpg,1
2935,2935,ISIC_0024338.jpg,3
3576,3576,ISIC_0024979.jpg,1
1744,1744,ISIC_0013233_downsampled.jpg,1
22896,22896,ISIC_0069374.jpg,1
508,508,ISIC_0001191_downsampled.jpg,1
15195,15195,ISIC_0057133.jpg,1
15356,15356,ISIC_0057390.jpg,0
10022,10022,ISIC_0031425.jpg,1
7425,7425,ISIC_0028828.jpg,1
16901,16901,ISIC_0059841.jpg,3
4941,4941,ISIC_0026344.jpg,1
8514,8514,ISIC_0029917.jpg,2
11918,11918,ISIC_0033321.jpg,3
19770,19770,ISIC_0064460.jpg,2
7359,7359,ISIC_0028762.jpg,1
7461,7461,ISIC_0028864.jpg,1
22287,22287,ISIC_0068434.jpg,1
7282,7282,ISIC_0028685.jpg,0
14631,14631,ISIC_0056232.jpg,0
18240,18240,ISIC_0062000.jpg,0
4394,4394,ISIC_0025797.jpg,1
9138,9138,ISIC_0030541.jpg,1
15990,15990,ISIC_0058428.jpg,0
24750,24750,ISIC_0072346.jpg,1
25115,25115,ISIC_0072914.jpg,2
13310,13310,ISIC_0054110.jpg,0
1201,1201,ISIC_0011344.jpg,0
20697,20697,ISIC_0065935.jpg,3
4773,4773,ISIC_0026176.jpg,1
15067,15067,ISIC_0056929.jpg,2
9480,9480,ISIC_0030883.jpg,0
3977,3977,ISIC_0025380.jpg,1
5406,5406,ISIC_0026809.jpg,1
7704,7704,ISIC_0029107.jpg,3
9083,9083,ISIC_0030486.jpg,0
9502,9502,ISIC_0030905.jpg,1
18577,18577,ISIC_0062525.jpg,0
16830,16830,ISIC_0059731.jpg,1
23248,23248,ISIC_0069933.jpg,0
9926,9926,ISIC_0031329.jpg,3
15512,15512,ISIC_0057661.jpg,0
1862,1862,ISIC_0013518_downsampled.jpg,0
8139,8139,ISIC_0029542.jpg,1
6865,6865,ISIC_0028268.jpg,1
19802,19802,ISIC_0064510.jpg,2
2921,2921,ISIC_0024324.jpg,3
18103,18103,ISIC_0061781.jpg,2
2955,2955,ISIC_0024358.jpg,3
20119,20119,ISIC_0065023.jpg,0
21817,21817,ISIC_0067704.jpg,0
5405,5405,ISIC_0026808.jpg,1
11116,11116,ISIC_0032519.jpg,1
3531,3531,ISIC_0024934.jpg,1
15779,15779,ISIC_0058097.jpg,0
18075,18075,ISIC_0061729.jpg,1
13896,13896,ISIC_0055050.jpg,2
147,147,ISIC_0000156_downsampled.jpg,0
10518,10518,ISIC_0031921.jpg,1
6863,6863,ISIC_0028266.jpg,1
24846,24846,ISIC_0072505.jpg,2
10546,10546,ISIC_0031949.jpg,1
21775,21775,ISIC_0067649.jpg,1
22125,22125,ISIC_0068187.jpg,1
318,318,ISIC_0000354.jpg,1
14476,14476,ISIC_0055972.jpg,3
23427,23427,ISIC_0070220.jpg,0
20860,20860,ISIC_0066211.jpg,1
24645,24645,ISIC_0072164.jpg,1
987,987,ISIC_0010461.jpg,1
8296,8296,ISIC_0029699.jpg,1
3991,3991,ISIC_0025394.jpg,0
7555,7555,ISIC_0028958.jpg,3
21480,21480,ISIC_0067178.jpg,1
728,728,ISIC_0009935.jpg,1
14770,14770,ISIC_0056470.jpg,1
7103,7103,ISIC_0028506.jpg,1
6548,6548,ISIC_0027951.jpg,1
22284,22284,ISIC_0068427.jpg,0
19410,19410,ISIC_0063876.jpg,1
10377,10377,ISIC_0031780.jpg,1
19370,19370,ISIC_0063811.jpg,0
11863,11863,ISIC_0033266.jpg,1
18087,18087,ISIC_0061745.jpg,1
6919,6919,ISIC_0028322.jpg,1
5417,5417,ISIC_0026820.jpg,1
13801,13801,ISIC_0054898.jpg,1
6461,6461,ISIC_0027864.jpg,1
10600,10600,ISIC_0032003.jpg,1
15325,15325,ISIC_0057344.jpg,0
21591,21591,ISIC_0067345.jpg,2
3755,3755,ISIC_0025158.jpg,1
2851,2851,ISIC_0016014_downsampled.jpg,1
2989,2989,ISIC_0024392.jpg,1
4716,4716,ISIC_0026119.jpg,1
25211,25211,ISIC_0073066.jpg,2
15844,15844,ISIC_0058193.jpg,2
23224,23224,ISIC_0069905.jpg,1
8859,8859,ISIC_0030262.jpg,1
10182,10182,ISIC_0031585.jpg,2
10059,10059,ISIC_0031462.jpg,1
7390,7390,ISIC_0028793.jpg,1
25306,25306,ISIC_0073219.jpg,1
18201,18201,ISIC_0061934.jpg,2
9051,9051,ISIC_0030454.jpg,1
5236,5236,ISIC_0026639.jpg,1
12076,12076,ISIC_0033479.jpg,0
21422,21422,ISIC_0067094.jpg,1
9151,9151,ISIC_0030554.jpg,1
17475,17475,ISIC_0060749.jpg,0
1470,1470,ISIC_0012664_downsampled.jpg,1
7245,7245,ISIC_0028648.jpg,1
11589,11589,ISIC_0032992.jpg,1
4345,4345,ISIC_0025748.jpg,0
7884,7884,ISIC_0029287.jpg,1
5506,5506,ISIC_0026909.jpg,0
9365,9365,ISIC_0030768.jpg,3
8806,8806,ISIC_0030209.jpg,1
6653,6653,ISIC_0028056.jpg,0
1784,1784,ISIC_0013335_downsampled.jpg,3
15616,15616,ISIC_0057845.jpg,0
24763,24763,ISIC_0072365.jpg,2
15316,15316,ISIC_0057330.jpg,1
11875,11875,ISIC_0033278.jpg,0
5077,5077,ISIC_0026480.jpg,1
9635,9635,ISIC_0031038.jpg,1
8031,8031,ISIC_0029434.jpg,0
1747,1747,ISIC_0013238_downsampled.jpg,1
2538,2538,ISIC_0014941_downsampled.jpg,1
21139,21139,ISIC_0066641.jpg,1
10727,10727,ISIC_0032130.jpg,1
24305,24305,ISIC_0071647.jpg,1
5633,5633,ISIC_0027036.jpg,1
84,84,ISIC_0000091_downsampled.jpg,1
19764,19764,ISIC_0064451.jpg,2
10940,10940,ISIC_0032343.jpg,3
6664,6664,ISIC_0028067.jpg,1
10057,10057,ISIC_0031460.jpg,1
3976,3976,ISIC_0025379.jpg,1
12839,12839,ISIC_0034242.jpg,0
15049,15049,ISIC_0056907.jpg,1
15988,15988,ISIC_0058426.jpg,0
19148,19148,ISIC_0063453.jpg,2
4972,4972,ISIC_0026375.jpg,1
2439,2439,ISIC_0014785_downsampled.jpg,1
20982,20982,ISIC_0066396.jpg,1
709,709,ISIC_0009911.jpg,1
13399,13399,ISIC_0054257.jpg,3
21749,21749,ISIC_0067605.jpg,2
10443,10443,ISIC_0031846.jpg,1
10188,10188,ISIC_0031591.jpg,3
10451,10451,ISIC_0031854.jpg,1
1869,1869,ISIC_0013549_downsampled.jpg,0
2395,2395,ISIC_0014714_downsampled.jpg,1
22329,22329,ISIC_0068504.jpg,3
17376,17376,ISIC_0060605.jpg,1
16908,16908,ISIC_0059854.jpg,2
14444,14444,ISIC_0055924.jpg,0
3513,3513,ISIC_0024916.jpg,1
5117,5117,ISIC_0026520.jpg,1
11952,11952,ISIC_0033355.jpg,1
9904,9904,ISIC_0031307.jpg,1
5474,5474,ISIC_0026877.jpg,0
12337,12337,ISIC_0033740.jpg,1
7357,7357,ISIC_0028760.jpg,0
4630,4630,ISIC_0026033.jpg,1
1843,1843,ISIC_0013486_downsampled.jpg,1
1658,1658,ISIC_0013075_downsampled.jpg,1
10436,10436,ISIC_0031839.jpg,1
3271,3271,ISIC_0024674.jpg,1
1232,1232,ISIC_0011398.jpg,1
14791,14791,ISIC_0056506.jpg,1
7077,7077,ISIC_0028480.jpg,1
21945,21945,ISIC_0067912.jpg,3
8773,8773,ISIC_0030176.jpg,1
8005,8005,ISIC_0029408.jpg,1
5536,5536,ISIC_0026939.jpg,1
3487,3487,ISIC_0024890.jpg,3
3352,3352,ISIC_0024755.jpg,1
11562,11562,ISIC_0032965.jpg,0
7244,7244,ISIC_0028647.jpg,1
11774,11774,ISIC_0033177.jpg,1
7658,7658,ISIC_0029061.jpg,3
23954,23954,ISIC_0071073.jpg,1
2930,2930,ISIC_0024333.jpg,0
3536,3536,ISIC_0024939.jpg,1
13240,13240,ISIC_0053976.jpg,2
18056,18056,ISIC_0061698.jpg,3
315,315,ISIC_0000351.jpg,1
4802,4802,ISIC_0026205.jpg,3
19043,19043,ISIC_0063274.jpg,2
19699,19699,ISIC_0064339.jpg,0
11967,11967,ISIC_0033370.jpg,1
9249,9249,ISIC_0030652.jpg,1
3879,3879,ISIC_0025282.jpg,1
8785,8785,ISIC_0030188.jpg,3
12291,12291,ISIC_0033694.jpg,1
8141,8141,ISIC_0029544.jpg,1
17480,17480,ISIC_0060761.jpg,3
10486,10486,ISIC_0031889.jpg,1
22920,22920,ISIC_0069406.jpg,3
10091,10091,ISIC_0031494.jpg,0
12284,12284,ISIC_0033687.jpg,0
10963,10963,ISIC_0032366.jpg,1
24015,24015,ISIC_0071171.jpg,1
11656,11656,ISIC_0033059.jpg,1
3583,3583,ISIC_0024986.jpg,1
10784,10784,ISIC_0032187.jpg,0
19381,19381,ISIC_0063827.jpg,2
13369,13369,ISIC_0054202.jpg,2
21944,21944,ISIC_0067910.jpg,2
22992,22992,ISIC_0069519.jpg,1
13784,13784,ISIC_0054871.jpg,1
7353,7353,ISIC_0028756.jpg,1
48,48,ISIC_0000050_downsampled.jpg,1
17683,17683,ISIC_0061097.jpg,2
1592,1592,ISIC_0012940_downsampled.jpg,1
7064,7064,ISIC_0028467.jpg,0
13298,13298,ISIC_0054082.jpg,0
6634,6634,ISIC_0028037.jpg,1
20384,20384,ISIC_0065430.jpg,1
25152,25152,ISIC_0072983.jpg,0
10408,10408,ISIC_0031811.jpg,1
5517,5517,ISIC_0026920.jpg,1
12312,12312,ISIC_0033715.jpg,1
13391,13391,ISIC_0054241.jpg,2
13074,13074,ISIC_0053698.jpg,0
19134,19134,ISIC_0063428.jpg,0
20648,20648,ISIC_0065853.jpg,0
4725,4725,ISIC_0026128.jpg,1
6587,6587,ISIC_0027990.jpg,3
3643,3643,ISIC_0025046.jpg,2
16040,16040,ISIC_0058507.jpg,3
14709,14709,ISIC_0056351.jpg,1
21451,21451,ISIC_0067138.jpg,1
13617,13617,ISIC_0054605.jpg,2
3149,3149,ISIC_0024552.jpg,0
9236,9236,ISIC_0030639.jpg,1
6013,6013,ISIC_0027416.jpg,1
2282,2282,ISIC_0014571_downsampled.jpg,3
22857,22857,ISIC_0069319.jpg,2
24321,24321,ISIC_0071672.jpg,2
15903,15903,ISIC_0058289.jpg,3
20677,20677,ISIC_0065893.jpg,2
12778,12778,ISIC_0034181.jpg,1
10344,10344,ISIC_0031747.jpg,1
21634,21634,ISIC_0067427.jpg,1
10911,10911,ISIC_0032314.jpg,2
14164,14164,ISIC_0055467.jpg,0
1903,1903,ISIC_0013617_downsampled.jpg,0
1732,1732,ISIC_0013216_downsampled.jpg,1
3648,3648,ISIC_0025051.jpg,1
19184,19184,ISIC_0063516.jpg,1
3092,3092,ISIC_0024495.jpg,3
17392,17392,ISIC_0060629.jpg,0
18495,18495,ISIC_0062400.jpg,1
22416,22416,ISIC_0068644.jpg,2
22959,22959,ISIC_0069472.jpg,3
8471,8471,ISIC_0029874.jpg,1
13775,13775,ISIC_0054855.jpg,3
1216,1216,ISIC_0011363.jpg,1
20165,20165,ISIC_0065099.jpg,0
11999,11999,ISIC_0033402.jpg,1
14450,14450,ISIC_0055931.jpg,0
1256,1256,ISIC_0012137_downsampled.jpg,0
9112,9112,ISIC_0030515.jpg,1
24948,24948,ISIC_0072658.jpg,3
1557,1557,ISIC_0012845_downsampled.jpg,3
9792,9792,ISIC_0031195.jpg,1
2805,2805,ISIC_0015961_downsampled.jpg,1
14778,14778,ISIC_0056486.jpg,2
14374,14374,ISIC_0055816.jpg,3
12650,12650,ISIC_0034053.jpg,1
15744,15744,ISIC_0058043.jpg,2
23626,23626,ISIC_0070549.jpg,0
13909,13909,ISIC_0055069.jpg,1
7561,7561,ISIC_0028964.jpg,2
7031,7031,ISIC_0028434.jpg,1
9927,9927,ISIC_0031330.jpg,1
6248,6248,ISIC_0027651.jpg,0
3340,3340,ISIC_0024743.jpg,2
6658,6658,ISIC_0028061.jpg,1
17378,17378,ISIC_0060607.jpg,1
3110,3110,ISIC_0024513.jpg,1
2126,2126,ISIC_0014149_downsampled.jpg,1
5348,5348,ISIC_0026751.jpg,1
10072,10072,ISIC_0031475.jpg,1
10047,10047,ISIC_0031450.jpg,2
10778,10778,ISIC_0032181.jpg,1
18903,18903,ISIC_0063053.jpg,1
4954,4954,ISIC_0026357.jpg,1
12276,12276,ISIC_0033679.jpg,0
13333,13333,ISIC_0054144.jpg,2
14194,14194,ISIC_0055511.jpg,0
20298,20298,ISIC_0065309.jpg,1
21447,21447,ISIC_0067131.jpg,2
22964,22964,ISIC_0069478.jpg,3
15654,15654,ISIC_0057902.jpg,2
2453,2453,ISIC_0014802_downsampled.jpg,1
1959,1959,ISIC_0013747_downsampled.jpg,1
12749,12749,ISIC_0034152.jpg,1
17996,17996,ISIC_0061610.jpg,3
19831,19831,ISIC_0064556.jpg,2
92,92,ISIC_0000099_downsampled.jpg,1
14257,14257,ISIC_0055633.jpg,1
11084,11084,ISIC_0032487.jpg,1
5358,5358,ISIC_0026761.jpg,1
23285,23285,ISIC_0069987.jpg,0
9478,9478,ISIC_0030881.jpg,1
17258,17258,ISIC_0060414.jpg,2
1136,1136,ISIC_0011166.jpg,0
14467,14467,ISIC_0055957.jpg,2
18448,18448,ISIC_0062331.jpg,1
23426,23426,ISIC_0070219.jpg,3
22343,22343,ISIC_0068531.jpg,1
800,800,ISIC_0010023.jpg,0
7340,7340,ISIC_0028743.jpg,1
15347,15347,ISIC_0057374.jpg,0
15888,15888,ISIC_0058264.jpg,2
6385,6385,ISIC_0027788.jpg,2
9853,9853,ISIC_0031256.jpg,1
11711,11711,ISIC_0033114.jpg,0
12950,12950,ISIC_0053508.jpg,0
16143,16143,ISIC_0058666.jpg,0
14779,14779,ISIC_0056487.jpg,0
11373,11373,ISIC_0032776.jpg,3
20808,20808,ISIC_0066116.jpg,0
20563,20563,ISIC_0065721.jpg,2
19691,19691,ISIC_0064325.jpg,2
11235,11235,ISIC_0032638.jpg,0
13880,13880,ISIC_0055021.jpg,2
1171,1171,ISIC_0011294.jpg,1
11633,11633,ISIC_0033036.jpg,1
17655,17655,ISIC_0061055.jpg,2
803,803,ISIC_0010028.jpg,1
24263,24263,ISIC_0071576.jpg,0
21661,21661,ISIC_0067463.jpg,1
24432,24432,ISIC_0071857.jpg,0
3429,3429,ISIC_0024832.jpg,3
15732,15732,ISIC_0058027.jpg,1
24679,24679,ISIC_0072214.jpg,1
1529,1529,ISIC_0012773_downsampled.jpg,3
9839,9839,ISIC_0031242.jpg,1
21133,21133,ISIC_0066634.jpg,3
10536,10536,ISIC_0031939.jpg,1
3292,3292,ISIC_0024695.jpg,1
8566,8566,ISIC_0029969.jpg,1
23706,23706,ISIC_0070684.jpg,2
6575,6575,ISIC_0027978.jpg,1
9924,9924,ISIC_0031327.jpg,1
22677,22677,ISIC_0069051.jpg,1
18272,18272,ISIC_0062050.jpg,1
6227,6227,ISIC_0027630.jpg,1
23647,23647,ISIC_0070589.jpg,3
22527,22527,ISIC_0068817.jpg,0
11789,11789,ISIC_0033192.jpg,0
19668,19668,ISIC_0064289.jpg,1
12572,12572,ISIC_0033975.jpg,0
22732,22732,ISIC_0069135.jpg,3
8267,8267,ISIC_0029670.jpg,1
10292,10292,ISIC_0031695.jpg,1
6402,6402,ISIC_0027805.jpg,1
22217,22217,ISIC_0068338.jpg,2
4786,4786,ISIC_0026189.jpg,1
2329,2329,ISIC_0014621_downsampled.jpg,3
23382,23382,ISIC_0070146.jpg,2
